Association_ID	Microbe	Disease	Score	Pmid	Type	Position	Tendency	mtype	dtype
MBP00000026	Corynebacterium pseudodiphtheriticum	Virus respiratory tract infection	0.50021693		Bacteria	Nasal cavity	Increase	microbe	disease
MBP00000027	Desulfovibrionaceae	Cirrhosis of liver	-0.524444434	28578302	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000028	Dermacoccus	Type 2 diabetes	0.599701933	23300163	Bacteria	Foot	Increase	microbe	disease
MBP00000029	Prevotella	Autism spectrum disorder	-0.160733219	29371629	Bacteria	Oral cavity	Decrease	microbe	disease
MBP00000030	Lactobacillaceae	Cirrhosis of liver	0.555679118	28578302	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000031	Eggerthella	Hiv infection	-0.339353761	24817204	Bacteria	Cervix	Decrease	microbe	disease
MBP00000032	Leptotrichia	Mouth neoplasm	-0.298671937	21205002	Bacteria	Oral cavity	Decrease	microbe	disease
MBP00000033	Fusobacterium gonidiaformans	Bacteriemia	1.199403865	NCIT C86398	Bacteria	Other	Increase	microbe	disease
MBP00000034	Clostridium butyricum	Autism	-0.555679118	12173102	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000035	Clostridiales	Behcet's syndrome	-0.463684921	27283393	Bacteria	Oral cavity	Decrease	microbe	disease
MBP00000036	Parabacteroides	Multiple sclerosis	0.295330946	27176462	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000037	Tyzzerella nexilis	Atopic eczema	0.480421619	23339708	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000038	Odoribacter	Alcoholic pancreatitis	-0.361141305	29555983	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000039	Dialister	Bacteria vaginosis	0.577884841	21272848	Bacteria	Vagina	Increase	microbe	disease
MBP00000040	Neisseria spp	Rabies	2.39880773	29955859	Bacteria	Skin and soft tissue	Increase	microbe	disease
MBP00000041	Hyaloscyphaceae	Cirrhosis of liver	-0.674959431	28578302	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000042	Xanthomonas	Cystic fibrosis associated meconium ileum	0.674959431	21796216	Bacteria	Lung	Increase	microbe	disease
MBP00000043	Trichomonas vaginalis	Pelvic inflammatory disease	2.000867722	29955859	Fungus	Genitals	Increase	microbe	disease
MBP00000044	Acanthamoeba hatchetti	Granulomatous dermatitis	1.199403865	NCIT C119301	Parasite	Other	Increase	microbe	disease
MBP00000045	Mycobacterium kansasii	Herpes simplex infection	2.000867722	29955859	Bacteria	Skin and soft tissue	Increase	microbe	disease
MBP00000046	Actinomycetaceae	Bacteria vaginosis	0.599701933	18717638	Bacteria	Cervix	Increase	microbe	disease
MBP00000047	Erysipelothrix rhusiopathiae	Erysipelas	1.048888867	NCIT C86377	Bacteria	Other	Increase	microbe	disease
MBP00000048	Influenza	Idiopathic pulmonary fibrosis	2.699837726	29955859	Virus	Respiratory tract	Increase	microbe	disease
MBP00000049	Simonsiella muelleri	Oral tuberculosis	0.555679118	30054809	Bacteria	Other	Increase	microbe	disease
MBP00000050	Ruminococcus flavefaciens	Autism	0.555679118	12173102	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000051	Enterococcus faecium	Cystic fibrosis	0.480421619	26940651	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000052	Faecalibacterium prausnitzii	Pervasive developmental disorder - not otherwise specified	0.226861509	24130822	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000053	Olsenella profusa	Dental caries	0.674959431	25658087	Bacteria	Oral cavity	Increase	microbe	disease
MBP00000054	Gardnerella vaginalis	Ulcerative colitis	0.367347201	24315776	Bacteria	Urinary tract	Increase	microbe	disease
MBP00000055	Butyrate-producing bacterium m21/2	Type i diabetes mellitus	-0.674959431	22043294	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000056	Desulfovibrionaceae	Parkinson's disease	-0.524444434	28843021	Bacteria	Nasal cavity	Decrease	microbe	disease
MBP00000057	Streptococcus porcinus	Urinary tract infection	1.199403865	NCIT C86802	Bacteria	Other	Increase	microbe	disease
MBP00000058	Haemophilus	Periodontitis	-0.27719328	27262209	Bacteria	Oral cavity	Decrease	microbe	disease
MBP00000059	Propionibacterium acnes	Atopic eczema	-0.424959431	18033838	Bacteria	Skin and soft tissue	Decrease	microbe	disease
MBP00000060	Bacteroides	Hashimoto's thyroiditis	-0.215247159	29320965	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000061	Streptococcus pneumoniae	Viral pneumonia	1.39880773	29955859	Bacteria	Respiratory tract	Increase	microbe	disease
MBP00000062	Enterococcus	Encephalopathy	0.266592318	22821944	Bacteria	Other	Increase	microbe	disease
MBP00000063	Enterobacteriaceae	Ulcerative colitis	0.256934967	25596182	Bacteria	Other	Increase	microbe	disease
MBP00000064	Lachnoanaerobaculum	Cystic fibrosis	-0.463684921	29445257	Bacteria	Throat	Decrease	microbe	disease
MBP00000065	Borrelia miyamotoi	Trench fever	1.199403865	NCIT C122252	other	Other	Increase	microbe	disease
MBP00000066	Malassezia	Skin and soft tissue staphylococcus aureus infection	1.349918863	NCIT C127292	Fungus	Other	Increase	microbe	disease
MBP00000067	Bifidobacterium	Rheumatoid arthritis	-0.213684921	18528968	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000068	Saccharomyces cerevisiae	Crohn's disease	-1.111358236	24275714	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000069	Anaerococcus	Hepatitis, alcoholic	0.480421619	29083504	Bacteria	Bloodstream	Increase	microbe	disease
MBP00000070	Lachnospira	Type 2 diabetes	-0.349701933	28008148	Bacteria	Urinary tract	Decrease	microbe	disease
MBP00000071	Propionibacterium acnes	Psoriasis	0.424959431	18648509	Bacteria	Skin and soft tissue	Increase	microbe	disease
MBP00000072	Propionibacterium propionicum	Dacryocystitis - osteopoikilosis	1.199403865	NCIT C86683	Bacteria	Other	Increase	microbe	disease
MBP00000073	Pantoea	Type i diabetes mellitus	0.674959431	22043294	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000074	Aquabacterium parvum	Alcoholic pancreatitis	0.674959431	29555983	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000075	Flavonifractor	Atopic eczema	0.480421619	27812181	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000076	Escherichia coli	Ischemia	0.571767613	27895859	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000077	Epstein-barr virus	Lymphoproliferative disease	2.000867722	29955859	Virus	Other	Increase	microbe	disease
MBP00000078	Chitinimonas	Azoospermia	-0.674959431	29456693	Bacteria	Genitals	Decrease	microbe	disease
MBP00000079	Bacillus alvei	European foulbrood	1.349918863	NCIT C86159	Bacteria	Other	Increase	microbe	disease
MBP00000080	Rikenellaceae	Parkinson's disease	0.380936617	29501802	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000081	Trichostrongylus axei	Diarrhea	1.199403865	NCIT C125968	Bacteria	Other	Increase	microbe	disease
MBP00000082	Acinetobacter spp	Eye infection	1.921686475	29955859	Bacteria	Eye	Increase	microbe	disease
MBP00000083	Aestuariimicrobium	Dental caries	-0.674959431	23743597	Bacteria	Oral cavity	Decrease	microbe	disease
MBP00000084	Oligella urethralis	Urgency urinary incontinence	0.674959431	25006228	Bacteria	Urinary tract	Increase	microbe	disease
MBP00000085	Hookworms cestodes 	Gastroenteritis	2.699837726	29955859	Parasite	Gastrointestinal tract	Increase	microbe	disease
MBP00000086	Anaerococcus vaginalis	Infection	1.199403865	NCIT C86877	Bacteria	Other	Increase	microbe	disease
MBP00000087	Sutterella	Primary biliary cirrhosis	-0.41461126	28213609	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000088	Shigella boydii	Shigellosis	1.349918863	NCIT C86744	Bacteria	Other	Increase	microbe	disease
MBP00000089	Prevotella	Necrotizing ulcerative gingivitis	-0.160733219	22152152	Bacteria	Oral cavity	Decrease	microbe	disease
MBP00000090	Asaccharobacter	Hepatitis b infection	-0.555679118	29180991	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000091	Enterococcus	Heart failure	0.266592318	29330424	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000092	Gardnerella vaginalis	Urgency urinary incontinence	0.367347201	25006228	Bacteria	Urinary tract	Increase	microbe	disease
MBP00000093	Streptococcus gallolyticus	Endocarditis	1.111358236	NCIT C86791	Bacteria	Other	Increase	microbe	disease
MBP00000094	Bacteroides ovatus	Type i diabetes mellitus	0.41461126	20613793	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000095	Pseudoalteromonas	Pouchitis	0.674959431	19617766	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000096	Aeromonas sobria	Eye infection	1.048888867	NCIT C86130	Bacteria	Other	Increase	microbe	disease
MBP00000097	Bifidobacterium	Colorectal cancer	-0.427369843	24811328	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000098	Clostridium cluster xiva	Ulcerative colitis	-0.436398804	27824645	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000099	Madurella	Eumycotic mycetoma	1.349918863	NCIT C127291	Bacteria	Other	Increase	microbe	disease
MBP00000100	Leptotrichia	Dental caries	-0.298671937	28326153	Bacteria	Oral cavity	Increase	microbe	disease
MBP00000101	Streptococcus	Aids	0.18761193	29411528	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000102	Campylobacter jejuni	Gastroenteritis	1.111358236	NCIT C86235	Bacteria	Other	Increase	microbe	disease
MBP00000103	Sphingomonas yabuuchiae	Opisthorchiasis	0.674959431	27447938	Bacteria	Gallbladder	Increase	microbe	disease
MBP00000104	Peptostreptococcus	Periodontitis	0.325474429	27262209	Bacteria	Oral cavity	Increase	microbe	disease
MBP00000105	Pseudomonas aeruginosa	Skin wound	1.444565221	29955859	Bacteria	Skin and soft tissue	Increase	microbe	disease
MBP00000106	Staphylococcus aureus	Cystic fibrosis	0.264096262	26492486	Bacteria	Nasal cavity	Increase	microbe	disease
MBP00000107	Providencia	Colorectal cancer	0.674959431	26170900	Bacteria	Other	Increase	microbe	disease
MBP00000108	Phialophora spp	Myofascial pain syndrome	2.699837726	29955859	Fungus	Skin and soft tissue	Increase	microbe	disease
MBP00000109	Enterococcus	Interstitial cystitis	0.266592318	22974186	Bacteria	Urinary tract	Increase	microbe	disease
MBP00000110	Prevotella	Laryngeal squamous cell carcinoma	0.482199656		Bacteria	Throat	Increase	microbe	disease
MBP00000111	Staphylococcus simulans	Ostomyelitis	1.199403865	NCIT C86773	Bacteria	Other	Increase	microbe	disease
MBP00000112	Pichia	Hiv infection	-0.674959431	29385188	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000113	Bifidobacterium	Pancreatic carcinoma	-0.213684921	29221120	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000114	Enterobacteriaceae	Ischemia	0.513869934	22315951	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000115	Sphingobium xenophagum	Opisthorchiasis	0.674959431	27447938	Bacteria	Gallbladder	Increase	microbe	disease
MBP00000116	Enterovirus	Pneumonia	2.222716471	29955859	Virus	Respiratory tract	Increase	microbe	disease
MBP00000117	Mycoplasma pneumoniae	Streptococcal pneumonia	0.960843238	NCIT C86599	Mycoplasma	Other	Increase	microbe	disease
MBP00000118	Coprobacillus	Psoriasis	-0.50021693	25319745	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000119	Neisseria meningitidis	Infectious meningitis	1.921686475	29955859	Bacteria	Central nervous system	Increase	microbe	disease
MBP00000120	Streptococcus	Type i diabetes mellitus	0.18761193	22043294	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000121	Johnsonella ignava	Necrotizing ulcerative gingivitis	1.111358236	NCIT C86448	Bacteria	Other	Increase	microbe	disease
MBP00000122	Cryptococcus neoformans	Myoclonic cerebellar dyssynergia	1.854739686	29955859	Bacteria	Skin and soft tissue	Increase	microbe	disease
MBP00000123	Veillonella	Bacteria vaginosis	0.226861509	26385347	Bacteria	Cervix	Increase	microbe	disease
MBP00000124	Staphylococcus epidermidis	Cystic fibrosis	0.424959431	26492486	Bacteria	Nasal cavity	Increase	microbe	disease
MBP00000125	Streptococcus spp	Lymphangitis	1.745595216	29955859	Bacteria	Skin and soft tissue	Increase	microbe	disease
MBP00000126	Pseudomonadaceae	Asthma	1.111358236	28947029	Bacteria	Oral cavity	Increase	microbe	disease
MBP00000127	Nocardia asteroides	Nocardiosis	1.199403865	NCIT C86611	Bacteria	Other	Increase	microbe	disease
MBP00000128	Ruminococcus albus	Colorectal cancer	-0.555679118	23940645	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000129	Trichosporon asahii	Septic shock	1.111358236	NCIT C114272	Fungus	Other	Increase	microbe	disease
MBP00000130	Fusobacterium	Systemic lupus erythematosus	0.241860992	28320468	Bacteria	Oral cavity	Increase	microbe	disease
MBP00000131	Ruminococcus	Amyotrophic lateral sclerosis	-0.259269974	28947596	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000132	Prevotella	Rem sleep behavior disorder	-0.160733219	28843021	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000133	Porphyromonas	Pancreatic carcinoma	-0.285883806	26587342	Bacteria	Oral cavity	Decrease	microbe	disease
MBP00000134	Enterococcaceae	Congenital short bowel syndrome	0.524444434	28425133	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000135	Dorea	Sclerosing cholangitis	-0.309359932	29435321	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000136	Fucophilus fucoidanolyticus	Cystic fibrosis	-0.674959431	22538067	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000137	P. multocida subsp multocida (cats)	Rabies	2.39880773	29955859	Bacteria	Skin and soft tissue	Increase	microbe	disease
MBP00000138	Lactobacillus rhamnosus	Type 2 diabetes	0.674959431	23386831	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000139	Escherichia albertii	Diarrhea	1.349918863	NCIT C86378	Bacteria	Other	Increase	microbe	disease
MBP00000140	Blautia coccoides	Parkinson's disease	-0.424959431	26539989	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000141	Schistosoma mansoni	Schistosomiasis	1.349918863	NCIT C124391	Parasite	Other	Increase	microbe	disease
MBP00000142	Prevotella	Kidney stone	-0.160733219	27115405	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000143	Alternaria	Hiv infection	-0.449186935	29385188	Virus	Gastrointestinal tract	Decrease	microbe	disease
MBP00000144	Stenotrophomonas	Asthma	0.463684921	25329665	Bacteria	Oral cavity	Increase	microbe	disease
MBP00000145	Chlamydia trachomatis	Pelvic inflamm atory disease	1.796747739	29955859	Bacteria	Genitals	Increase	microbe	disease
MBP00000146	Paraprevotella	Alcoholic pancreatitis	-0.41461126	29555983	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000147	Collinsella	Atherosclerosis	0.380936617	23212374	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000148	Klebsiella granulomatis	Granuloma inguinale	3.598211595	NCIT C86454	Chlamydia	Other	Increase	microbe	disease
MBP00000149	Parainfluenza virus	Idiopathic pulmonary fibrosis	2.39880773	29955859	Virus	Respiratory tract	Increase	microbe	disease
MBP00000150	Streptococcus infantarius	Bacteriemia	1.349918863	NCIT C86793	Virus	Other	Increase	microbe	disease
MBP00000151	Enterococcus	Necrotizing enterocolitis	0.266592318	19369970	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000152	Candida albicans	Hiv infection	0.449186935	29385188	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000153	Oribacterium asaccharolyticum	Obesity	-0.674959431	29576948	Bacteria	Oral cavity	Decrease	microbe	disease
MBP00000154	Mycobacterium abscessus	Idiopathic pulmonary fibrosis	2.222716471	29955859	Bacteria	Respiratory tract	Increase	microbe	disease
MBP00000155	Clostridium boltae	Autism	0.524444434	15528506	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000156	Alistipes	Parkinson's disease	0.292089702	29501802	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000157	Clostridium fallax	Black leg disease	1.199403865	NCIT C86279	Bacteria	Other	Increase	microbe	disease
MBP00000158	Streptococcus parasanguinis	Cirrhosis of liver	0.872797608	25079328	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000159	Staphylococcus	Meibomian cyst	0.329906621	22836761	Bacteria	Eye	Increase	microbe	disease
MBP00000160	Catenibacterium	Chronic kidney disease	-0.50021693	28588309	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000161	Hathewaya histolytica	Autism	0.599701933	16157555	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000162	Alternaria	Visceral leishmaniasis	0.898373869	NCIT C119320	Virus	Other	Increase	microbe	disease
MBP00000163	Pasteurellaceae	Chronic kidney disease	-0.449186935	28588309	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000164	Prevotella salivae	Refractory celiac disease	-0.555679118	28087531	Bacteria	Oral cavity	Decrease	microbe	disease
MBP00000165	Bacteroides	Colon adenocarcinoma	-0.215247159	20740058	Bacteria	Other	Decrease	microbe	disease
MBP00000166	Lactobacillus	Smoking behavior	-0.197838177	25169082	Bacteria	Vagina	Decrease	microbe	disease
MBP00000167	Mycoplasma genitalium	Nonchlamydial nongonococcal urethritis in males	1.921686475	29955859	Bacteria	Genitals	Increase	microbe	disease
MBP00000168	Promicromonosporaceae	Ischemia	0.674959431	21741921	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000169	Bilophila	Hepatitis c infection	-0.388427423	28561276	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000170	Corynebacteriaceae	Hepatitis, alcoholic	0.674959431	29083504	Bacteria	Bloodstream	Increase	microbe	disease
MBP00000171	Lachnospira	Sclerosing cholangitis	0.0	26526357	Bacteria	Other	Increase	microbe	disease
MBP00000172	Hallella	Laryngeal squamous cell carcinoma	-0.463684921	23824228	Bacteria	Other	Decrease	microbe	disease
MBP00000173	Dorea	Non-alcoholic steatohepatitis	0.309359932	27028797	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000174	Aggregatibacter aphrophilus	Endocarditis	1.111358236	NCIT C86134	Bacteria	Other	Increase	microbe	disease
MBP00000175	Staphylococcus capitis	Endocarditis	1.000433861	NCIT C86752	Bacteria	Other	Increase	microbe	disease
MBP00000176	Burkholderiales bacterium	Hypertension	-0.674959431	29507058	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000177	Lactobacillus crispatus	Human papilloma virus infection	-0.367347201	27521363	Bacteria	Cervix	Decrease	microbe	disease
MBP00000178	Eubacterium eligens	Type 1 diabetes	-0.449186935	20613793	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000179	Pseudomonas	Hirschsprung disease - nail hypoplasia - dysmorphism	0.302119008	29652728	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000180	Alistipes putredinis	Cirrhosis of liver	-1.309196412	25079328	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000181	Jc virus	Progressive multifocal leukoencephalopathy	3.334074707	NCIT C14229	Virus	Other	Increase	microbe	disease
MBP00000182	Staphylococcus aureus	Endocarditis	0.528192525	NCIT C50921	Bacteria	Other	Increase	microbe	disease
MBP00000183	Eubacterium coprostanoligenes	Autism	-0.674959431	24130822	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000184	Acinetobacter spp	Viral pneumonia	1.921686475	29955859	Bacteria	Respiratory tract	Increase	microbe	disease
MBP00000185	Bifidobacterium	Crohn's disease	0.213684921	26351391	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000186	Ruminococcaceae	Clostridium difficile infection	-0.302119008	23323867	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000187	Bifidobacterium	Major depressive episode	-0.213684921	27288567	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000188	Enterococcus	Chronic bacteria prostatitis	1.06636927	29955859	Bacteria	Urinary tract	Increase	microbe	disease
MBP00000189	Streptococcus spp	Osteomyelitis	1.745595216	29955859	Bacteria	Skin and soft tissue	Increase	microbe	disease
MBP00000190	Filifactor	Hepatitis b infection	0.480421619	26606973	Bacteria	Oral cavity	Increase	microbe	disease
MBP00000191	Lactobacillus mucosae	Non-alcoholic steatohepatitis	0.524444434	29379536	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000192	Neisseriagonorrhoeae	Liver disease	2.699837726	29955859	Bacteria	Abdominal cavity	Increase	microbe	disease
MBP00000193	Dialister	Ankylosing spondylitis	0.28894242	27390077	Bacteria	Other	Increase	microbe	disease
MBP00000194	Strongyloides stercoralis	Diarrhea	1.111358236	NCIT C125643	Parasite	Other	Increase	microbe	disease
MBP00000195	Prevotella pallens	Autoimmune polyendocrinopathy type 1	-0.524444434	29503707	Bacteria	Oral cavity	Decrease	microbe	disease
MBP00000196	Peptostreptococcus	Autism spectrum disorder	-0.650948859	29371629	Bacteria	Oral cavity	Decrease	microbe	disease
MBP00000197	Campylobacter	Idiopathic pulmonary fibrosis	0.349701933	28143484	Bacteria	Respiratory tract	Increase	microbe	disease
MBP00000198	Prevotella bryantii	Crohn's disease	-0.674959431	22529960	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000199	Corynebacterium	Aggressive periodontitis	-0.305679118	25814980	Bacteria	Oral cavity	Decrease	microbe	disease
MBP00000200	Veillonella sp. oral taxon 780	Dental caries	0.674959431	27898021	Bacteria	Oral cavity	Increase	microbe	disease
MBP00000201	Ruminococcaceae	Polycystic ovary syndrome	-0.302119008	28293234	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000202	Coprococcus eutactus	Parkinson's disease	-0.50021693	28429209	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000203	Clostridia	Type i diabetes mellitus	-0.599701933	20613793	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000204	Leishmania	Leishmaniasis	1.349918863	NCIT C123421	Parasite	Other	Increase	microbe	disease
MBP00000205	Mycobacterium leprae	Leprosy	1.349918863	NCIT C86544	Bacteria	Other	Increase	microbe	disease
MBP00000206	Sutterella	Ankylosing spondylitis	0.41461126	28750650	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000207	Butyricicoccus	Parkinson's disease	0.463684921	29501802	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000208	Selenomonas	Chronic obstructive pulmonary disease	0.355271031	23071781	Bacteria	Respiratory tract	Increase	microbe	disease
MBP00000209	Staphylococcus aureus	Idiopathic pulmonary fibrosis	1.056385049	29955859	Bacteria	Respiratory tract	Increase	microbe	disease
MBP00000210	Burkholderia cepacia	Periodontitis	-0.674959431	23303375	Bacteria	Oral cavity	Decrease	microbe	disease
MBP00000211	Ruminococcaceae	Psoriasis	-0.302119008	25319745	Bacteria	Gastrointestinal tract	Decrease	microbe	disease
MBP00000212	Alternaria	Cutaneous leishmaniasis	0.898373869	NCIT C119320	Virus	Other	Increase	microbe	disease
MBP00000213	Dehalobacterium	Crohn's disease	-0.599701933	26574491	Bacteria	Other	Decrease	microbe	disease
MBP00000214	Strongyloides stercoralis	Viral pneumonia	2.222716471	29955859	Parasite	Respiratory tract	Increase	microbe	disease
MBP00000215	Veillonella dispar	Pleuropulmonary blastoma	0.734694402	NCIT C86838	Bacteria	Other	Increase	microbe	disease
MBP00000216	Enterobacter asburiae	Primary biliary cirrhosis	0.599701933	27243236	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000217	Micrococcus	Dandruff	0.555679118	27909689	Bacteria	Skin and soft tissue	Increase	microbe	disease
MBP00000218	Tyzzerella nexilis	Pulmonary tuberculosis	0.480421619	29322681	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000219	Shigella	Celiac disease	0.388427423	21970810	Bacteria	Gastrointestinal tract	Increase	microbe	disease
MBP00000220	Erwinia	Pulmonary arterial hypertension associated with another disease	-0.50021693	28316574	Bacteria	Urinary tract	Decrease	microbe	disease
MBP00000221	Echinococcus	Acute chest syndrome	2.222716471	29955859	Parasite	Respiratory tract	Increase	microbe	disease
MBP00000222	Variovorax	Cirrhosis of liver	0.599701933	27639192	Bacteria	Bloodstream	Increase	microbe	disease
